Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Accesion number,Call number,Label,Keywords,Abstract,URL,Author Address
N. Baskar,1986,A study on the feeding habits of Herring Gulls (Larus argentatus) and Brahminy Kite (Haliastur indus) with special emphasis on their role as natural cleaning agencies of fishery wastes at Point Calimere,AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc,,,TD-00249,Gulls,,,
Larus fuscus,,,,,,,,,,,,,,
Laridae,,,,,,,,,,,,,,
Raptors,,,,,,,,,,,,,,
Haliastur indus,,,,,,,,,,,,,,
Accipitridae,,,,,,,,,,,,,,
Coromandel Plains,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species co-occurrence,,,,,,,,,,,,,,
Scavengers,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Bioagents,,,,,,,,,,,,,,
S. Bhardwaj,2004,Status assessment of birds of urban Shimla,Department of Zoology,,"Himachal Pradesh University, Shimla",,Ph.D.,,,TD-00175,Landbirds,,,
North-west Himalayas,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Group size,,,,,,,,,,,,,,
R. B. Bharwad,2010,Ecological studies on selected raptors of urban area,Department of Zoology,,"Hemachandracharya North Gujarat University, Patan",,Ph.D.,,,TD-00100,Raptors,,,
Accipitridae,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Mixed roosting colonies,,,,,,,,,,,,,,
Roosting behaviour,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
R. K. Bhatnagar,1980,Studies on avian depredations in crop and its man-control,,,"Chaudhary Charan Singh University, Meerut",,Ph.D.,,,TD-00223,Landbirds,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species-environment relationships,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Crop damage,,,,,,,,,,,,,,
Bird pests,,,,,,,,,,,,,,
Granivores,,,,,,,,,,,,,,
Economic ornithology,,,,,,,,,,,,,,
Pestiferous birds,,,,,,,,,,,,,,
Control measures,,,,,,,,,,,,,,
S. Bhupathy,1985,"Ecology of Purple Moorhens Porphyrio porphyrio poliocephalus (Latham) from January to March 1985 in Keoladeo National Park, Bharatpur",AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc.,,,TD-00244,Rails,,,
Rallidae,,,,,,,,,,,,,,
Porphyrio porphyrio,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Marshes,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Ecophysiology,,,,,,,,,,,,,,
Population structure,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Territorial behaviour,,,,,,,,,,,,,,
B. Bhushan,1994,Ornithology of Eastern Ghats,,,"University of Bombay, Bombay",,Ph.D.,,,TD-00074,Landbirds,,,
Rhinoptilus bitorquatus,,,,,,,,,,,,,,
Glareolidae,,,,,,,,,,,,,,
Eastern Ghats (South),,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Avian biogeography,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Population structure,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Endemic species,,,,,,,,,,,,,,
Bird survey,,,,,,,,,,,,,,
Migration,,,,,,,,,,,,,,
Impact assessment,,,,,,,,,,,,,,
Action plans,,,,,,,,,,,,,,
T. B. Bhushan,1999,Linguistic analysis of bird names in Telugu,,,"University of Mumbai, Mumbai",,Ph.D.,,,TD-00295,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Coastal birds,,,,,,,,,,,,,,
Ethno-ornithology,,,,,,,,,,,,,,
Bird names,,,,,,,,,,,,,,
V. J. Bhuva,1999,Feeding ecology of some wading birds in the Gulf of Kachchh,,,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00085,Coastal birds,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Coasts,,,,,,,,,,,,,,
Wetlands ,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Coastal ecosystem,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Foraging maneuver,,,,,,,,,,,,,,
Prey selection,,,,,,,,,,,,,,
Migration,,,,,,,,,,,,,,
S. Bisht,2009,"Status and distribution of Ungulates and Galliformes in Prek Chu Catchment of the Khangchendzonga Biosphere Reserve, Sikkim",Forestry,Dehradun,"Forest Research Institute University, Dehradun",107,M.Sc.,,,TD-00363,Galliformes,,,
Landbirds,,,,,,,,,,,,,,
Ungulates,,,,,,,,,,,,,,
Khangchendzonga Biosphere Reserve,,,,,,,,,,,,,,
Eastern Himalayas,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Spatial distribution,,,,,,,,,,,,,,
Habitat usage,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Species ecology,,,,,,,,,,,,,,
Mixed sub-tropical forests,,,,,,,,,,,,,,
Mixed temperate forests,,,,,,,,,,,,,,
Sub-alpine pastures,,,,,,,,,,,,,,
Sub-alpine,,,,,,,,,,,,,,
Blood Pheasant,,,,,,,,,,,,,,
Himalayan Monal,,,,,,,,,,,,,,
Satyr Tragopan,,,,,,,,,,,,,,
Hill Patridge,,,,,,,,,,,,,,
Site occupancy,,,,,,,,,,,,,,
Geographical distribution,,,,,,,,,,,,,,
Habitat distribution,,,,,,,,,,,,,,
Altitude variation,,,,,,,,,,,,,,
Altitude gradient distribution,,,,,,,,,,,,,,
Bird distribution,,,,,,,,,,,,,,
Population studies,,,,,,,,,,,,,,
C. K. Borad,1998,Appraisal of damage potential and breeding ecology of the Indian Sarus Crane Grus antigone antigone Linnaeus in Paddy crop agroecosystem,,,"Gujarat Agricultural University, Anand",,,,,TD-00294,Cranes,,,
Gruidae,,,,,,,,,,,,,,
Antigone antigone,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Farmlands,,,,,,,,,,,,,,
Paddy fields,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Crop damage,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Pestiferous birds,,,,,,,,,,,,,,
J. Borah,2011,"Occupancy pattern and food-niche partitioning among sympatric kingfishers in Bhitarkanika mangroves, Orissa",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",61,M.Sc.,,,TD-00360,Kingfishers,,,
Mangrove ecosystem,,,,,,,,,,,,,,
Mangrove,,,,,,,,,,,,,,
Sympatric association,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Macroecology,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Species occupancy,,,,,,,,,,,,,,
Habitat characteristics,,,,,,,,,,,,,,
Behavioural studies,,,,,,,,,,,,,,
Time activity budget,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Ecological co-variates,,,,,,,,,,,,,,
Foraging-niche segregation,,,,,,,,,,,,,,
Microhabitat characteristics,,,,,,,,,,,,,,
Common Kingfisher,,,,,,,,,,,,,,
Collared Kingfisher,,,,,,,,,,,,,,
Black-capped Kingfisher,,,,,,,,,,,,,,
Brown-winged Kingfisher,,,,,,,,,,,,,,
N. Brahma,2015,Ecological evaluation of grassland using Bengal Florican as indicator species in Manas National Park,Department of Zoology,Guwahati,"Gauhati University, Guwahati",,Ph.D.,,,TD-00091,Bustards,,,
Otididae,,,,,,,,,,,,,,
Houbaropsis bengalensis,,,,,,,,,,,,,,
North-eastern Hills,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Landscape ecology,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Land cover,,,,,,,,,,,,,,
Indicator species,,,,,,,,,,,,,,
Grazing,,,,,,,,,,,,,,
Floristics,,,,,,,,,,,,,,
Habitat degradation,,,,,,,,,,,,,,
H. V. Budgey,1994,Parental strategies of the Indian Peahen Pavo cristatus,Department of Biology,,The Open University,319,Ph.D.,,,TD-00369,Pavo cristatus,,,
Parental care,,,,,,,,,,,,,,
Parental strategies,,,,,,,,,,,,,,
Polygyny,,,,,,,,,,,,,,
Nest parasitism,,,,,,,,,,,,,,
Bedfordshire,,,,,,,,,,,,,,
Brood defence,,,,,,,,,,,,,,
Vigilance,,,,,,,,,,,,,,
Feeding behaviour,,,,,,,,,,,,,,
Brood amalgamation,,,,,,,,,,,,,,
S. Butchart,1994,Sexual conflicts and polyandry in Bronze-winged Jacanas,,,"Cambridge University, London",,Ph.D.,,,TD-00073,Jacanas,,,
Metopidius indicus,,,,,,,,,,,,,,
Jacanidae,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Lakes ,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Sexual conflicts,,,,,,,,,,,,,,
Sexual selection,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Territorial behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Polyandry,,,,,,,,,,,,,,
Sperm competition,,,,,,,,,,,,,,
Parental care,,,,,,,,,,,,,,
B. Chandrapurada,2011,Some studies on birds of Tavaragundi,Department of Zoology,,"Karnatak University, Dharwad",,Ph.D.,,,TD-00106,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Habitat occupancy,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
M. Chandy,2010,Studies on avifauna of rice fields in an area around Vembanad lake,Department of Zoology,,"Mahatma Gandhi University, Kottayam",,Ph.D.,,,TD-00160,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Malabar Coast,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Macroecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Cropping seasonality,,,,,,,,,,,,,,
Granivores,,,,,,,,,,,,,,
P. Charles,2007,X-ray crystallographic studies on hemoglobin form avian and mammalian species,"Centre for Advanced study in Crystallography and Biophysics, University of Madras, Guindy campus",Chennai,"University of Madras, Chennai",76,Ph.D,,,TD-00325,X-ray crystallography,,,
Hemoglobin structure,,,,,,,,,,,,,,
Hanging drop vapour diffusion method,,,,,,,,,,,,,,
Ramachandran plot,,,,,,,,,,,,,,
Avian hemoglobin,,,,,,,,,,,,,,
Mammalian hemoglobin,,,,,,,,,,,,,,
S. Chatterjee,2015,Avian frugivory and seed dispersal along habitat gradient in moist deciduous forest,Department of Zoology,,"University of Calcutta, Kolkata",,Ph.D.,,,TD-00089,Landbirds,,,
Moist deciduous forests,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Frugivores,,,,,,,,,,,,,,
Frugivory,,,,,,,,,,,,,,
Plant-bird interactions,,,,,,,,,,,,,,
Seed germination,,,,,,,,,,,,,,
Seed dispersal,,,,,,,,,,,,,,
V. Chaudhari,2004,Studies on avian diversity of Jammu district of J&K state,Department of Zoology,,"University of Jammu, Jammu",,Ph.D.,,,TD-00170,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
North-west Himalayas,,,,,,,,,,,,,,
Broadleaved forests,,,,,,,,,,,,,,
Pine forests,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Foraging guilds,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Winter migrant,,,,,,,,,,,,,,
R. B. Chauhan,1994,"Food habit, breeding performance and morphometrics of the Indian Myna Acridotheres tristis L.",,,"Gujarat Agricultural University, Anand",,Ph.D,,,TD-00287,Starlings,,,
Sturnidae,,,,,,,,,,,,,,
Acridotheres tristis,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Farmlands,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Ecomorphology,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Insectivores,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Cavity nesting,,,,,,,,,,,,,,
Nest site selection,,,,,,,,,,,,,,
P. B. Chavda,1988,Behavioural and ecological study of the Indian Black Ibis at Junagadh,,,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00260,Ibises,,,
Pseudibis papillosa,,,,,,,,,,,,,,
Threskiornithidae,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Marshes,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Ecophysiology,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Behavioural context,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Omnivores,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
G. Chawla,1993,Ecological studies on the Pied Myna (Sturnus contra) in an intensively cultivated area,,,"Punjab Agricultural University, Ludhiana",,Ph.D.,,,TD-00228,Starlings,,,
Sturnidae,,,,,,,,,,,,,,
Gracupica contra,,,,,,,,,,,,,,
Punjab Plains,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Predation,,,,,,,,,,,,,,
Breeding density,,,,,,,,,,,,,,
Breeding ecology,,,,,,,,,,,,,,
N. Chettri,2001,Impact of habitat distubances on bird and butterfly communities along the Yuksam Dzongri trail in Kanchendzonga Biosphere Reserve,Department of Zoology,,"University of North Bengal, Darjeeling",,Ph.D.,,,TD-00186,Landbirds,,,
Eastern Himalaya,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Moist broadleaved forests,,,,,,,,,,,,,,
Alpine forests,,,,,,,,,,,,,,
Pine forests,,,,,,,,,,,,,,
Temperate forests,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Climate change,,,,,,,,,,,,,,
Habitat disturbance,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
Impact assessment,,,,,,,,,,,,,,
D. B. Chimalakonda,2012,Ecological and anthropogenic covariates influencing diversity of waterbirds of a wetland complex in an agriculture dominated landscape,National Centre for Biological Sciences,Bangalore,"Tata Institute of Fundamental Research, Mumbai",,M.Sc.,,,TD-00002,Waterbirds,,,
Deccan Plateau,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Bird communities,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Patch dynamics,,,diptibharadwaj.l@gmail.com,,,,,,,,,,,
K. E. Choudhary,2013,Studies on cestode parasites of birds and mammals of Vidarbha Region of Maharashtra State,Department of Zoology,,"Sant Gadge Baba Amravati University, Amravati",,Ph.D.,,,TD-00317,Landbirds,,,
Deccan Plateau,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Parasitology,,,,,,,,,,,,,,
Bird parasites,,,,,,,,,,,,,,
Z. Chozhiyattel,2012,Behaviour and adaptations of Little Cormorant Phalacrocorax niger and Darter Anhinga melanogaster,Department of Zoology,,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00319,Cormorants,,,
Darters,,,,,,,,,,,,,,
Microcarbo niger,,,,,,,,,,,,,,
Anhinga melanogaster,,,,,,,,,,,,,,
Phalacrocoracidae,,,,,,,,,,,,,,
Anhingidae,,,,,,,,,,,,,,
Malabar Coast,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Roosting pattern,,,,,,,,,,,,,,
Agonistic behaviour,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Water quality,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
R. Daisy,2014,Studies on the morphology and taxonomy of some cestode parasites of birds and mammals,Department of Zoology,,"University of Bundelkhand, Jhansi",,Ph.D.,,,TD-00314,Landbirds,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Parasitology,,,,,,,,,,,,,,
Bird parasites,,,,,,,,,,,,,,
Morphology of parasites,,,,,,,,,,,,,,
Infections,,,,,,,,,,,,,,
A. A. Danieal,2014,"Brain B-esterase activities as biomarkers of cholinesterase inhibiting pesticides in select species of birds from Ahmedabad, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,,,TD-00050,Landbirds,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Pesticide contamination,,,,,,,,,,,,,,
Bioindicators,,,,,,,,,,,,,,
Enzyme activity,,,,,,,,,,,,,,
R. J. Daniels,1989,A conservation strategy for the birds of Uttara Kannada District,Faculty of Science,Bangalore,"Indian Institute of Sciences, Bangalore",238,Ph.D.,,,TD-00368,Conservation biology,,,
Uttara Kannada,,,,,,,,,,,,,,
Bird assemblage,,,,,,,,,,,,,,
Bird diversity,,,,,,,,,,,,,,
Slash-and-burn cultivation,,,,,,,,,,,,,,
Vegetation characteristics,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Habitat niche partitioning,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Geographical distribution,,,,,,,,,,,,,,
Conservation strategy,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Bird abundance,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
T. A. Dar,2010,"Ecological studies on components of faunal diversity in selected watershed areas of Uttaranchal state, India",Department of Wildlife Science,Aligarh,Aligarh Muslim University,222,Ph.D.,,,TD-00389,Population status,,,
Community structure,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat suitability,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Conservation efforts,,,,,,,,,,,,,,
A. K. Das,2009,"Ecology and behaviour of Little Cormorant (Phalacrocorax niger Vieillot) and Night Heron (Nycticorax nycticorax Linnaeus) at the Raiganj Wildlife Sanctuary, West Bengal",Department of Zoology,Darjeeling,"University of North Bengal, Darjeeling",,PhD.,,,TD-00140,Cormorants,,,
Herons,,,,,,,,,,,,,,
Phalacrocorax niger ,,,,,,,,,,,,,,
Nycticorax nycticorax,,,,,,,,,,,,,,
Ardeidae,,,,,,,,,,,,,,
Phalacrocoracidae,,,,,,,,,,,,,,
Lower Gangetic Plains,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Prey availability,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
K. S. A. Das,2008,"Bird community structure along the altitudinal gradient in Silent Valley National Park, Western Ghats, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00013,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Shola forests,,,,,,,,,,,,,,
Montane rain forests,,,,,,,,,,,,,,
Moist broadleaved forests ,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Elevational pattern,,,,,,,,,,,,,,
Spatio-temporal variation,,,,,,,,,,,,,,
Nest characteristics,,,anoopsacon@gmail.com,,,,,,,,,,,
A. Datta,2001,An ecological study of sympatric hornbills and fruiting patterns in a tropical forest in Arunachal Pradesh,Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00299,Hornbills,,,
Bucerotidae,,,,,,,,,,,,,,
North-eastern Hills,,,,,,,,,,,,,,
Evergreen forest,,,,,,,,,,,,,,
Rain forest,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Frugivores,,,,,,,,,,,,,,
Fruiting phenology,,,,,,,,,,,,,,
Fruiting pattern,,,,,,,,,,,,,,
Fig,,,,,,,,,,,,,,
Plant-bird interactions,,,,,,,,,,,,,,
S. Dave,2002,Ecological study on the piscivorous birds of the semi-arid area,,,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00300,Waterbirds,,,
Wetland birds,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Fish availability,,,,,,,,,,,,,,
P. Davidar,1979,Synecological studies on the specialised nectar-feeding birds and bird-flowers in the Nilgiris,,,"University of Bombay, Bombay",,Ph.D.,,,TD-00057,Landbirds,,,
Nectarivores,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Montane forests,,,,,,,,,,,,,,
Shola forests,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Nectarivory,,,,,,,,,,,,,,
Plant-bird interactions,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Bird pollination,,,,,,,,,,,,,,
G. Y. Dayananda,2005,"Ornitho-ecological studies on Gudavi Bird Sanctuary, Sorab, Karnataka",Department of Applied Zoology,Shankaraghattta,Kuvempu University,140,Ph.D.,,,TD-00406,Bird studies,,,
Species diversity,,,,,,,,,,,,,,
Agricultural expansion,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Nest density,,,,,,,,,,,,,,
Nest site selection,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Habitat fidelity,,,,,,,,,,,,,,
Habitat quality,,,,,,,,,,,,,,
Conservation planning,,,,,,,,,,,,,,
Habitat monitoring,,,,,,,,,,,,,,
Conservation efforts,,,,,,,,,,,,,,
V. Deepa,2005,"Studies on the birds of Poombuhar and Tranquebar coasts, Nagapatinam district, Tamil Nadu",A V C College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc.,,,TD-00304,Waterbirds,,,
Coastal birds,,,,,,,,,,,,,,
Coromandel Coast,,,,,,,,,,,,,,
Coasts ,,,,,,,,,,,,,,
Mudflats,,,,,,,,,,,,,,
Harbour,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Colonization,,,,,,,,,,,,,,
Colonial breeders,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Fish availability,,,,,,,,,,,,,,
K. Deepti,2012,Studies on vertebrate diversity of Surinsar Mansar Wildlife Sanctuary,Department of Zoology,Jammu,University of Jammu,367,Ph.D.,,,TD-00383,Species diversity,,,
Feeding guilds,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
M. Deivanayaki,2007,"Status of wetland birds in Coimbatore district, Tamilnadu",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,,,TD-00037,Wetland birds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Landscape ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species dominance,,,,,,,,,,,,,,
